question_id,question,choice,choice_text,王様,爆速スピードスター,情熱ファイター,勝利の設計士,ファンタジスタ,フィジカルモンスター,器用貧乏のバランサー,戦場の統率者,空中戦の覇者,守備職人,ひらめき司令塔,気分屋の天才,献身的なハードワーカー,スナイパー
Q16,相手に勝つなら？,A,守備の読み,0,0,0,0,0,0,0,0,0,2,0,1,0,0
Q16,相手に勝つなら？,B,味方のために走る量,0,0,0,0,1,0,0,0,0,0,0,0,2,0
Q16,相手に勝つなら？,C,高さとヘディング,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Q16,相手に勝つなら？,D,一瞬のアイデア,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Q17,苦しい時間帯で大事にすることは？,A,流れを変える一発,0,0,1,0,0,0,0,0,0,0,0,2,0,0
Q17,苦しい時間帯で大事にすることは？,B,ミドルシュートで打開する,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Q17,苦しい時間帯で大事にすることは？,C,自分が前に出て引っ張る,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Q17,苦しい時間帯で大事にすることは？,D,スピードで相手を押し下げる,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Q18,自分のプレーを一言で言うなら？,A,戦う,0,0,2,0,0,0,0,0,0,0,0,1,0,0
Q18,自分のプレーを一言で言うなら？,B,設計する,0,0,0,2,0,0,1,0,0,0,0,0,0,0
Q18,自分のプレーを一言で言うなら？,C,魅せる,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Q18,自分のプレーを一言で言うなら？,D,押し切る,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Q19,練習で一番伸ばしたいものは？,A,全体的な安定感,0,0,0,0,0,0,2,0,0,0,0,0,0,1
Q19,練習で一番伸ばしたいものは？,B,味方を動かす力,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Q19,練習で一番伸ばしたいものは？,C,守備力と読み,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Q19,練習で一番伸ばしたいものは？,D,走力とカバー力,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Q20,最後に、自分に一番近いのは？,A,空中戦で負けたくない,1,0,0,0,0,0,0,0,2,0,0,0,0,0
Q20,最後に、自分に一番近いのは？,B,ひらめきでチャンスを作りたい,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Q20,最後に、自分に一番近いのは？,C,調子が良い日は誰にも止められない,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Q20,最後に、自分に一番近いのは？,D,ミドルシュートで試合を決めたい,0,0,0,0,0,0,0,0,0,0,0,0,0,2
